FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER
37037,Chatham,0.55,0.409,0.0,0.041
37039,Cherokee,0.439,0.437,0.0,0.124
37041,Chowan,0.618,0.298,0.0,0.084
37043,Clay,0.528,0.385,0.0,0.088
37045,Cleveland,0.559,0.356,0.0,0.085
37047,Columbus,0.563,0.311,0.0,0.126
37049,Craven,0.581,0.357,0.0,0.062
37051,Cumberland,0.639,0.31,0.0,0.051
37053,Currituck,0.478,0.435,0.0,0.088
37055,Dare,0.425,0.489,0.0,0.086
37057,Davidson,0.503,0.435,0.0,0.062
37059,Davie,0.54,0.404,0.0,0.056
37061,Duplin,0.612,0.292,0.0,0.096
37063,Durham,0.575,0.41,0.0,0.014
37065,Edgecombe,0.708,0.227,0.0,0.065
37067,Forsyth,0.58,0.398,0.0,0.022
37069,Franklin,0.594,0.343,0.0,0.063
37071,Gaston,0.541,0.403,0.0,0.056
37073,Gates,0.617,0.293,0.0,0.09
37075,Graham,0.443,0.407,0.0,0.15
37077,Granville,0.588,0.34,0.0,0.072
37079,Greene,0.587,0.294,0.0,0.119
37081,Guilford,0.56,0.417,0.0,0.023
37083,Halifax,0.667,0.248,0.0,0.085
37085,Harnett,0.551,0.368,0.0,0.081
37087,Haywood,0.445,0.46,0.0,0.095
37089,Henderson,0.47,0.501,0.0,0.029
37091,Hertford,0.675,0.222,0.0,0.103
37093,Hoke,0.597,0.311,0.0,0.092
37095,Hyde,0.48,0.405,0.0,0.115
37097,Iredell,0.509,0.432,0.0,0.058
37099,Jackson,0.381,0.57,0.0,0.049
37101,Johnston,0.521,0.405,0.0,0.074
37103,Jones,0.58,0.32,0.0,0.1
37105,Lee,0.546,0.381,0.0,0.073
37107,Lenoir,0.641,0.264,0.0,0.095
37109,Lincoln,0.513,0.418,0.0,0.069
37111,McDowell,0.409,0.49,0.0,0.101
37113,Macon,0.479,0.442,0.0,0.08
37115,Madison,0.345,0.587,0.0,0.068
37117,Martin,0.618,0.274,0.0,0.108
37119,Mecklenburg,0.603,0.383,0.0,0.014
37121,Mitchell,0.404,0.579,0.0,0.017
37123,Montgomery,0.549,0.355,0.0,0.096
37125,Moore,0.588,0.37,0.0,0.042
37127,Nash,0.658,0.282,0.0,0.06
37129,New Hanover,0.484,0.486,0.0,0.03
37131,Northampton,0.684,0.229,0.0,0.087
37133,Onslow,0.542,0.382,0.0,0.077
37135,Orange,0.484,0.499,0.0,0.017
37137,Pamlico,0.53,0.389,0.0,0.081
37139,Pasquotank,0.652,0.298,0.0,0.05
37141,Pender,0.564,0.368,0.0,0.067
37143,Perquimans,0.514,0.348,0.0,0.137
37145,Person,0.51,0.371,0.0,0.118
37147,Pitt,0.57,0.363,0.0,0.067
37149,Polk,0.477,0.487,0.0,0.036
37151,Randolph,0.466,0.458,0.0,0.076
37153,Richmond,0.571,0.31,0.0,0.119
37155,Robeson,0.51,0.314,0.0,0.176
37157,Rockingham,0.544,0.365,0.0,0.091
37159,Rowan,0.527,0.416,0.0,0.057
37161,Rutherford,0.46,0.445,0.0,0.095
37163,Sampson,0.657,0.269,0.0,0.074
37165,Scotland,0.63,0.269,0.0,0.101
37167,Stanly,0.491,0.414,0.0,0.095
37169,Stokes,0.478,0.44,0.0,0.082
37171,Surry,0.475,0.44,0.0,0.086
37173,Swain,0.41,0.512,0.0,0.078
37175,Transylvania,0.458,0.499,0.0,0.044
37177,Tyrrell,0.493,0.365,0.0,0.143
37179,Union,0.558,0.406,0.0,0.037
37181,Vance,0.64,0.28,0.0,0.08
37183,Wake,0.534,0.448,0.0,0.018
37185,Warren,0.7,0.245,0.0,0.055
37187,Washington,0.621,0.27,0.0,0.109
37189,Watauga,0.296,0.685,0.0,0.019
37191,Wayne,0.625,0.295,0.0,0.079
37193,Wilkes,0.504,0.426,0.0,0.07
37195,Wilson,0.642,0.294,0.0,0.064
37197,Yadkin,0.48,0.452,0.0,0.068
37199,Yancey,0.405,0.495,0.0,0.1
39001,Adams,0.568,0.413,0.0,0.018
39003,Allen,0.566,0.421,0.0,0.013
39005,Ashland,0.491,0.495,0.0,0.014
39007,Ashtabula,0.549,0.439,0.0,0.011
39009,Athens,0.382,0.612,0.0,0.006
39011,Auglaize,0.51,0.471,0.0,0.019
39013,Belmont,0.531,0.435,0.0,0.034
39015,Brown,0.583,0.398,0.0,0.018
39017,Butler,0.534,0.46,0.0,0.006
39019,Carroll,0.514,0.462,0.0,0.024
39021,Champaign,0.519,0.466,0.0,0.015
39023,Clark,0.587,0.405,0.0,0.008
39025,Clermont,0.494,0.5,0.0,0.006
39027,Clinton,0.485,0.503,0.0,0.012
39029,Columbiana,0.526,0.458,0.0,0.016
39031,Coshocton,0.536,0.445,0.0,0.019
39033,Crawford,0.514,0.436,0.0,0.05
39035,Cuyahoga,0.632,0.363,0.0,0.005
39037,Darke,0.542,0.434,0.0,0.024
39039,Defiance,0.506,0.482,0.0,0.012
39041,Delaware,0.579,0.418,0.0,0.004
39043,Erie,0.553,0.436,0.0,0.011
39045,Fairfield,0.553,0.438,0.0,0.009
39047,Fayette,0.583,0.409,0.0,0.008
